County,Year,Town,Total races tallied:,  Not Hispanic or Latino:,    White alone or in combination with one or more other races,    Black or African American alone or in combination with one or more other races,    American Indian and Alaska Native alone or in combination with one or more other races,    Asian alone or in combination with one or more other races,    Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,    Some Other Race alone or in combination with one or more other races,  Hispanic or Latino:,    White alone or in combination with one or more other races,    Black or African American alone or in combination with one or more other races,    American Indian and Alaska Native alone or in combination with one or more other races,    Asian alone or in combination with one or more other races,    Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,    Some Other Race alone or in combination with one or more other races
Hartford,2000,Newington,29696,28516,26692,658,107,914,23,122,1180,701,58,21,14,0,386
Hartford,2000,Plainville,17545,16873,15988,440,79,319,6,41,672,407,24,13,1,0,227
Hartford,2000,Rocky Hill,18215,17596,16019,655,67,754,15,86,619,368,28,14,6,0,203
Hartford,2000,Simsbury,23492,23100,22068,320,59,571,16,66,392,282,12,9,10,0,79
Hartford,2000,Southington,40136,39277,38130,429,156,485,5,72,859,552,31,13,4,2,257
Hartford,2000,South Windsor,24666,24082,22157,762,80,1003,13,67,584,373,26,7,11,1,166
Hartford,2000,Suffield,13711,13069,11909,916,58,147,18,21,642,210,84,17,7,5,319
Hartford,2000,West Hartford,64723,60432,53242,3165,187,3351,68,419,4291,2172,231,67,31,30,1760
Hartford,2000,Wethersfield,26608,25421,24143,594,50,479,23,132,1187,588,60,9,12,0,518
Hartford,2000,Windsor,28963,27448,18087,7908,175,993,31,254,1515,682,171,27,19,1,615
Hartford,2000,Windsor Locks,12233,11938,11115,360,57,349,5,52,295,164,16,2,1,0,112
Tolland,2000,Andover,3068,3018,2929,34,31,17,0,7,50,33,0,1,0,0,16
Tolland,2000,Bolton,5058,4973,4868,47,12,34,3,9,85,67,1,1,0,0,16
Tolland,2000,Columbia,5013,4925,4822,34,16,43,3,7,88,59,1,0,1,0,27
Tolland,2000,Coventry,11655,11437,11125,99,61,102,5,45,218,148,8,15,4,0,43
Tolland,2000,Ellington,13039,12838,12411,153,54,191,7,22,201,114,10,6,6,0,65
Tolland,2000,Hebron,8690,8580,8400,65,40,54,5,16,110,78,10,4,0,0,18
Tolland,2000,Mansfield,21156,20173,17240,1074,108,1599,32,120,983,470,67,23,18,6,399
Tolland,2000,Somers,10643,9720,8513,972,84,94,18,39,923,271,133,37,9,15,458
Tolland,2000,Stafford,11404,11205,10922,73,68,118,2,22,199,118,12,6,3,0,60
Tolland,2000,Tolland,13266,13104,12706,120,51,187,4,36,162,107,2,0,5,4,44
Tolland,2000,Union,703,703,692,1,5,4,0,1,0,0,0,0,0,0,0
Tolland,2000,Vernon,28648,27533,25056,1279,175,874,19,130,1115,623,70,21,6,1,394
Tolland,2000,Willington,6027,5916,5586,72,27,198,5,28,111,76,4,1,1,1,28
Hartford,1990,Avon,13937,,13463,128,12,210,,7,118,,,,,,
Hartford,1990,Berlin,16787,,16304,80,12,167,,0,224,,,,,,
Hartford,1990,Bloomfield,19483,,10586,7962,36,271,,39,590,,,,,,
Hartford,1990,Bristol,60640,,57225,1173,102,465,,39,1652,,,,,,
Hartford,1990,Burlington,7026,,6893,39,5,32,,1,56,,,,,,
Hartford,1990,Canton,8268,,8065,47,3,60,,4,89,,,,,,
Hartford,1990,East Granby,4302,,4168,63,4,16,,0,51,,,,,,
Hartford,1990,East Hartford,50452,,42084,4078,110,1120,,88,3006,,,,,,
Hartford,1990,East Windsor,10081,,9401,342,39,131,,4,164,,,,,,
Hartford,1990,Enfield,45532,,42806,1159,55,472,,11,1039,,,,,,
Hartford,1990,Farmington,20608,,19647,269,23,428,,14,240,,,,,,
Hartford,1990,Glastonbury,27901,,26394,245,25,677,,18,562,,,,,,
Hartford,1990,Granby,9369,,9156,44,16,66,,1,88,,,,,,
Hartford,1990,Hartford,139739,,42614,50225,450,2024,,598,44137,,,,,,
Hartford,1990,Hartland,1866,,1840,2,3,11,,0,10,,,,,,
Hartford,1990,Manchester,51618,,47500,1928,101,869,,47,1229,,,,,,
Hartford,1990,Marlborough,5535,,5383,52,4,29,,1,68,,,,,,
Hartford,1990,New Britain,75491,,56405,5257,130,1348,,133,12284,,,,,,
Hartford,1990,Newington,29208,,27735,406,39,408,,15,612,,,,,,
Hartford,1990,Plainville,17392,,16421,407,16,162,,18,371,,,,,,
Hartford,1990,Rocky Hill,16554,,15524,412,19,267,,9,326,,,,,,
Hartford,1990,Simsbury,22023,,21219,171,9,370,,3,254,,,,,,
Hartford,1990,Southington,38518,,37377,330,32,260,,20,508,,,,,,
Hartford,1990,South Windsor,22090,,20641,502,42,560,,3,370,,,,,,
Hartford,1990,Suffield,11427,,11007,173,9,138,,4,98,,,,,,
Hartford,1990,West Hartford,60110,,55176,1262,46,1710,,61,1891,,,,,,
Hartford,1990,Wethersfield,25651,,24719,272,31,200,,11,422,,,,,,
Hartford,1990,Windsor,27817,,21465,4678,36,662,,29,953,,,,,,
Hartford,1990,Windsor Locks,12358,,11786,178,16,214,,2,163,,,,,,
Tolland,1990,Andover,2540,,2498,14,9,5,,0,16,,,,,,
Tolland,1990,Bolton,4575,,4434,26,3,42,,1,74,,,,,,
Tolland,1990,Columbia,4510,,4406,17,0,25,,1,61,,,,,,
Tolland,1990,Coventry,10063,,9818,75,24,25,,3,118,,,,,,
Tolland,1990,Ellington,11197,,10891,143,11,58,,3,91,,,,,,
Tolland,1990,Hebron,7079,,6908,62,14,26,,3,67,,,,,,
Tolland,1990,Mansfield,21103,,18552,660,31,1281,,15,573,,,,,,
Tolland,1990,Somers,9108,,8055,702,10,66,,0,275,,,,,,
Tolland,1990,Stafford,11091,,10748,36,25,131,,1,155,,,,,,
Tolland,1990,Tolland,11001,,10691,97,14,107,,2,97,,,,,,
Tolland,1990,Union,612,,603,1,4,0,,0,4,,,,,,
Tolland,1990,Vernon,29841,,27938,644,59,586,,25,600,,,,,,
Tolland,1990,Willington,5979,,5727,56,17,94,,0,85,,,,,,
