"TOWN","variable","value"
"Southbury town","X15M3034",233
"Southington town","X15M3034",917
"Sprague town","X15M3034",109
"Stafford town","X15M3034",333
"Stamford town","X15M3034",6902
"Sterling town","X15M3034",122
"Stonington town","X15M3034",350
"Stratford town","X15M3034",1377
"Suffield town","X15M3034",553
"Thomaston town","X15M3034",180
"Thompson town","X15M3034",228
"Tolland town","X15M3034",210
"Torrington town","X15M3034",1258
"Trumbull town","X15M3034",452
"Union town","X15M3034",12
"Vernon town","X15M3034",1338
"Voluntown town","X15M3034",46
"Wallingford town","X15M3034",1417
"Warren town","X15M3034",17
"Washington town","X15M3034",37
"Waterbury town","X15M3034",3976
"Waterford town","X15M3034",313
"Watertown town","X15M3034",509
"West Hartford town","X15M3034",1305
"West Haven town","X15M3034",2211
"Westbrook town","X15M3034",160
"Weston town","X15M3034",29
"Westport town","X15M3034",70
"Wethersfield town","X15M3034",675
"Willington town","X15M3034",118
"Wilton town","X15M3034",84
"Winchester town","X15M3034",308
"Windham town","X15M3034",863
"Windsor Locks town","X15M3034",335
"Windsor town","X15M3034",858
"Wolcott town","X15M3034",264
"Woodbridge town","X15M3034",89
"Woodbury town","X15M3034",182
"Woodstock town","X15M3034",138
"","X15M3034",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M3034",NA
"Andover town","X15M3539",71
"Ansonia town","X15M3539",651
"Ashford town","X15M3539",120
"Avon town","X15M3539",354
"Barkhamsted town","X15M3539",70
"Beacon Falls town","X15M3539",171
"Berlin town","X15M3539",473
"Bethany town","X15M3539",103
"Bethel town","X15M3539",497
"Bethlehem town","X15M3539",66
"Bloomfield town","X15M3539",481
"Bolton town","X15M3539",97
"Bozrah town","X15M3539",65
"Branford town","X15M3539",773
"Bridgeport town","X15M3539",5239
"Bridgewater town","X15M3539",23
"Bristol town","X15M3539",2008
"Brookfield town","X15M3539",387
"Brooklyn town","X15M3539",317
"Burlington town","X15M3539",217
"Canaan town","X15M3539",25
"Canterbury town","X15M3539",167
"Canton town","X15M3539",244
"Chaplin town","X15M3539",42
"Cheshire town","X15M3539",767
"Chester town","X15M3539",60
"Clinton town","X15M3539",360
"Colchester town","X15M3539",460
"Colebrook town","X15M3539",25
"Columbia town","X15M3539",113
"Cornwall town","X15M3539",11
"Coventry town","X15M3539",360
"Cromwell town","X15M3539",483
"Danbury town","X15M3539",3484
"Darien town","X15M3539",438
"Deep River town","X15M3539",139
"Derby town","X15M3539",393
"Durham town","X15M3539",155
"East Granby town","X15M3539",171
"East Haddam town","X15M3539",232
"East Hampton town","X15M3539",320
"East Hartford town","X15M3539",1762
"East Haven town","X15M3539",939
"East Lyme town","X15M3539",518
"East Windsor town","X15M3539",377
"Eastford town","X15M3539",57
"Easton town","X15M3539",81
"Ellington town","X15M3539",492
"Enfield town","X15M3539",1687
"Essex town","X15M3539",105
"Fairfield town","X15M3539",1353
"Farmington town","X15M3539",636
"Franklin town","X15M3539",56
"Glastonbury town","X15M3539",776
"Goshen town","X15M3539",47
"Granby town","X15M3539",232
"Greenwich town","X15M3539",1457
"Griswold town","X15M3539",405
"Groton town","X15M3539",1207
"Guilford town","X15M3539",451
"Haddam town","X15M3539",220
"Hamden town","X15M3539",1760
"Hampton town","X15M3539",46
"Hartford town","X15M3539",4004
"Hartland town","X15M3539",48
"Harwinton town","X15M3539",109
"Hebron town","X15M3539",188
"Kent town","X15M3539",65
"Killingly town","X15M3539",626
"Killingworth town","X15M3539",78
"Lebanon town","X15M3539",198
"Ledyard town","X15M3539",495
"Lisbon town","X15M3539",97
"Litchfield town","X15M3539",176
"Lyme town","X15M3539",37
"Madison town","X15M3539",209
"Manchester town","X15M3539",2506
"Mansfield town","X15M3539",404
"Marlborough town","X15M3539",145
"Meriden town","X15M3539",2111
"Middlebury town","X15M3539",165
"Middlefield town","X15M3539",83
"Middletown town","X15M3539",1680
"Milford town","X15M3539",1601
"Monroe town","X15M3539",402
"Montville town","X15M3539",774
"Morris town","X15M3539",54
"Naugatuck town","X15M3539",1190
"New Britain town","X15M3539",2507
"New Canaan town","X15M3539",250
"New Fairfield town","X15M3539",224
"New Hartford town","X15M3539",163
"New Haven town","X15M3539",5017
"New London town","X15M3539",640
"New Milford town","X15M3539",785
"Newington town","X15M3539",954
"Newtown town","X15M3539",521
"Norfolk town","X15M3539",22
"North Branford town","X15M3539",351
"North Canaan town","X15M3539",82
"North Haven town","X15M3539",544
"North Stonington town","X15M3539",112
"Norwalk town","X15M3539",3862
"Norwich town","X15M3539",1413
"Old Lyme town","X15M3539",113
"Old Saybrook town","X15M3539",150
"Orange town","X15M3539",262
"Oxford town","X15M3539",314
"Plainfield town","X15M3539",598
"Plainville town","X15M3539",587
"Plymouth town","X15M3539",391
"Pomfret town","X15M3539",102
"Portland town","X15M3539",284
"Preston town","X15M3539",125
"Prospect town","X15M3539",216
"Putnam town","X15M3539",288
"Redding town","X15M3539",106
"Ridgefield town","X15M3539",382
"Rocky Hill town","X15M3539",612
"Roxbury town","X15M3539",42
"Salem town","X15M3539",133
"Salisbury town","X15M3539",61
"Scotland town","X15M3539",52
"Seymour town","X15M3539",486
"Sharon town","X15M3539",38
"Shelton town","X15M3539",1044
"Sherman town","X15M3539",52
"Simsbury town","X15M3539",527
"Somers town","X15M3539",324
"South Windsor town","X15M3539",650
"Southbury town","X15M3539",324
"Southington town","X15M3539",1191
"Sprague town","X15M3539",128
"Stafford town","X15M3539",379
"Stamford town","X15M3539",5989
"Sterling town","X15M3539",142
"Stonington town","X15M3539",397
"Stratford town","X15M3539",1633
"Suffield town","X15M3539",617
"Thomaston town","X15M3539",197
"Thompson town","X15M3539",271
"Tolland town","X15M3539",348
"Torrington town","X15M3539",1100
"Trumbull town","X15M3539",722
"Union town","X15M3539",17
"Vernon town","X15M3539",984
"Voluntown town","X15M3539",68
"Wallingford town","X15M3539",1367
"Warren town","X15M3539",26
"Washington town","X15M3539",57
"Waterbury town","X15M3539",3619
"Waterford town","X15M3539",411
"Watertown town","X15M3539",613
"West Hartford town","X15M3539",1692
"West Haven town","X15M3539",1952
"Westbrook town","X15M3539",178
"Weston town","X15M3539",103
"Westport town","X15M3539",333
"Wethersfield town","X15M3539",803
"Willington town","X15M3539",40
"Wilton town","X15M3539",269
"Winchester town","X15M3539",312
"Windham town","X15M3539",731
"Windsor Locks town","X15M3539",377
"Windsor town","X15M3539",847
"Wolcott town","X15M3539",432
"Woodbridge town","X15M3539",145
"Woodbury town","X15M3539",236
"Woodstock town","X15M3539",172
"","X15M3539",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M3539",NA
"Andover town","X15M4044",114
"Ansonia town","X15M4044",580
"Ashford town","X15M4044",126
"Avon town","X15M4044",577
"Barkhamsted town","X15M4044",118
"Beacon Falls town","X15M4044",222
"Berlin town","X15M4044",621
"Bethany town","X15M4044",179
"Bethel town","X15M4044",604
"Bethlehem town","X15M4044",109
"Bloomfield town","X15M4044",490
"Bolton town","X15M4044",155
"Bozrah town","X15M4044",94
"Branford town","X15M4044",674
"Bridgeport town","X15M4044",4591
"Bridgewater town","X15M4044",25
"Bristol town","X15M4044",1861
"Brookfield town","X15M4044",487
"Brooklyn town","X15M4044",345
"Burlington town","X15M4044",357
"Canaan town","X15M4044",31
"Canterbury town","X15M4044",173
"Canton town","X15M4044",328
"Chaplin town","X15M4044",84
"Cheshire town","X15M4044",1038
"Chester town","X15M4044",86
"Clinton town","X15M4044",399
"Colchester town","X15M4044",535
"Colebrook town","X15M4044",42
"Columbia town","X15M4044",173
"Cornwall town","X15M4044",27
"Coventry town","X15M4044",454
"Cromwell town","X15M4044",471
"Danbury town","X15M4044",2971
"Darien town","X15M4044",882
"Deep River town","X15M4044",151
"Derby town","X15M4044",377
"Durham town","X15M4044",286
"East Granby town","X15M4044",181
"East Haddam town","X15M4044",337
"East Hampton town","X15M4044",486
"East Hartford town","X15M4044",1540
"East Haven town","X15M4044",935
"East Lyme town","X15M4044",568
"East Windsor town","X15M4044",339
"Eastford town","X15M4044",66
"Easton town","X15M4044",188
"Ellington town","X15M4044",602
"Enfield town","X15M4044",1549
"Essex town","X15M4044",156
"Fairfield town","X15M4044",2056
"Farmington town","X15M4044",736
"Franklin town","X15M4044",74
"Glastonbury town","X15M4044",1159
"Goshen town","X15M4044",76
"Granby town","X15M4044",370
"Greenwich town","X15M4044",1962
"Griswold town","X15M4044",442
"Groton town","X15M4044",865
"Guilford town","X15M4044",652
"Haddam town","X15M4044",358
"Hamden town","X15M4044",1749
"Hampton town","X15M4044",60
"Hartford town","X15M4044",3532
"Hartland town","X15M4044",72
"Harwinton town","X15M4044",201
"Hebron town","X15M4044",341
"Kent town","X15M4044",67
"Killingly town","X15M4044",675
"Killingworth town","X15M4044",170
"Lebanon town","X15M4044",242
"Ledyard town","X15M4044",539
"Lisbon town","X15M4044",136
"Litchfield town","X15M4044",244
"Lyme town","X15M4044",50
"Madison town","X15M4044",442
"Manchester town","X15M4044",1706
"Mansfield town","X15M4044",405
"Marlborough town","X15M4044",245
"Meriden town","X15M4044",1922
"Middlebury town","X15M4044",308
"Middlefield town","X15M4044",152
"Middletown town","X15M4044",1349
"Milford town","X15M4044",1669
"Monroe town","X15M4044",635
"Montville town","X15M4044",862
"Morris town","X15M4044",82
"Naugatuck town","X15M4044",1003
"New Britain town","X15M4044",1873
"New Canaan town","X15M4044",568
"New Fairfield town","X15M4044",447
"New Hartford town","X15M4044",273
"New Haven town","X15M4044",3544
"New London town","X15M4044",672
"New Milford town","X15M4044",1016
"Newington town","X15M4044",1017
"Newtown town","X15M4044",858
"Norfolk town","X15M4044",35
"North Branford town","X15M4044",427
"North Canaan town","X15M4044",102
"North Haven town","X15M4044",720
"North Stonington town","X15M4044",170
"Norwalk town","X15M4044",3252
"Norwich town","X15M4044",1373
"Old Lyme town","X15M4044",211
"Old Saybrook town","X15M4044",237
"Orange town","X15M4044",434
"Oxford town","X15M4044",485
"Plainfield town","X15M4044",560
"Plainville town","X15M4044",605
"Plymouth town","X15M4044",438
"Pomfret town","X15M4044",183
"Portland town","X15M4044",348
"Preston town","X15M4044",122
"Prospect town","X15M4044",320
"Putnam town","X15M4044",329
"Redding town","X15M4044",205
"Ridgefield town","X15M4044",703
"Rocky Hill town","X15M4044",570
"Roxbury town","X15M4044",44
"Salem town","X15M4044",176
"Salisbury town","X15M4044",113
"Scotland town","X15M4044",63
"Seymour town","X15M4044",582
"Sharon town","X15M4044",57
"Shelton town","X15M4044",1204
"Sherman town","X15M4044",93
"Simsbury town","X15M4044",798
"Somers town","X15M4044",380
"South Windsor town","X15M4044",907
"Southbury town","X15M4044",521
"Southington town","X15M4044",1519
"Sprague town","X15M4044",91
"Stafford town","X15M4044",440
"Stamford town","X15M4044",4546
"Sterling town","X15M4044",171
"Stonington town","X15M4044",445
"Stratford town","X15M4044",1667
"Suffield town","X15M4044",704
"Thomaston town","X15M4044",249
"Thompson town","X15M4044",358
"Tolland town","X15M4044",569
"Torrington town","X15M4044",1059
"Trumbull town","X15M4044",1168
"Union town","X15M4044",34
"Vernon town","X15M4044",812
"Voluntown town","X15M4044",109
"Wallingford town","X15M4044",1444
"Warren town","X15M4044",47
"Washington town","X15M4044",99
"Waterbury town","X15M4044",3206
"Waterford town","X15M4044",573
"Watertown town","X15M4044",709
"West Hartford town","X15M4044",2005
"West Haven town","X15M4044",1688
"Westbrook town","X15M4044",236
"Weston town","X15M4044",275
"Westport town","X15M4044",786
"Wethersfield town","X15M4044",804
"Willington town","X15M4044",146
"Wilton town","X15M4044",615
"Winchester town","X15M4044",329
"Windham town","X15M4044",626
"Windsor Locks town","X15M4044",386
"Windsor town","X15M4044",844
"Wolcott town","X15M4044",558
"Woodbridge town","X15M4044",240
"Woodbury town","X15M4044",263
"Woodstock town","X15M4044",270
"","X15M4044",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M4044",NA
"Andover town","X15M4549",140
"Ansonia town","X15M4549",671
"Ashford town","X15M4549",156
"Avon town","X15M4549",871
"Barkhamsted town","X15M4549",210
"Beacon Falls town","X15M4549",281
"Berlin town","X15M4549",791
"Bethany town","X15M4549",257
"Bethel town","X15M4549",743
"Bethlehem town","X15M4549",143
"Bloomfield town","X15M4549",559
"Bolton town","X15M4549",167
"Bozrah town","X15M4549",122
"Branford town","X15M4549",814
"Bridgeport town","X15M4549",4669
"Bridgewater town","X15M4549",66
"Bristol town","X15M4549",2019
"Brookfield town","X15M4549",637
"Brooklyn town","X15M4549",372
"Burlington town","X15M4549",526
"Canaan town","X15M4549",54
"Canterbury town","X15M4549",196
"Canton town","X15M4549",473
"Chaplin town","X15M4549",101
"Cheshire town","X15M4549",1313
"Chester town","X15M4549",137
"Clinton town","X15M4549",519
"Colchester town","X15M4549",708
"Colebrook town","X15M4549",68
"Columbia town","X15M4549",232
"Cornwall town","X15M4549",50
"Coventry town","X15M4549",521
"Cromwell town","X15M4549",537
"Danbury town","X15M4549",2936
"Darien town","X15M4549",986
"Deep River town","X15M4549",215
"Derby town","X15M4549",453
"Durham town","X15M4549",387
"East Granby town","X15M4549",194
"East Haddam town","X15M4549",371
"East Hampton town","X15M4549",587
"East Hartford town","X15M4549",1673
"East Haven town","X15M4549",971
"East Lyme town","X15M4549",672
"East Windsor town","X15M4549",397
"Eastford town","X15M4549",57
"Easton town","X15M4549",328
"Ellington town","X15M4549",663
"Enfield town","X15M4549",1463
"Essex town","X15M4549",250
"Fairfield town","X15M4549",2291
"Farmington town","X15M4549",893
"Franklin town","X15M4549",76
"Glastonbury town","X15M4549",1537
"Goshen town","X15M4549",136
"Granby town","X15M4549",524
"Greenwich town","X15M4549",2347
"Griswold town","X15M4549",474
"Groton town","X15M4549",875
"Guilford town","X15M4549",860
"Haddam town","X15M4549",353
"Hamden town","X15M4549",1761
"Hampton town","X15M4549",76
"Hartford town","X15M4549",3687
"Hartland town","X15M4549",98
"Harwinton town","X15M4549",239
"Hebron town","X15M4549",496
"Kent town","X15M4549",113
"Killingly town","X15M4549",640
"Killingworth town","X15M4549",302
"Lebanon town","X15M4549",331
"Ledyard town","X15M4549",571
"Lisbon town","X15M4549",198
"Litchfield town","X15M4549",326
"Lyme town","X15M4549",80
"Madison town","X15M4549",746
"Manchester town","X15M4549",1644
"Mansfield town","X15M4549",487
"Marlborough town","X15M4549",307
"Meriden town","X15M4549",2072
"Middlebury town","X15M4549",327
"Middlefield town","X15M4549",195
"Middletown town","X15M4549",1511
"Milford town","X15M4549",1953
"Monroe town","X15M4549",882
"Montville town","X15M4549",887
"Morris town","X15M4549",113
"Naugatuck town","X15M4549",1184
"New Britain town","X15M4549",1934
"New Canaan town","X15M4549",869
"New Fairfield town","X15M4549",656
"New Hartford town","X15M4549",324
"New Haven town","X15M4549",3610
"New London town","X15M4549",729
"New Milford town","X15M4549",1173
"Newington town","X15M4549",1101
"Newtown town","X15M4549",1312
"Norfolk town","X15M4549",66
"North Branford town","X15M4549",543
"North Canaan town","X15M4549",105
"North Haven town","X15M4549",929
"North Stonington town","X15M4549",209
"Norwalk town","X15M4549",2898
"Norwich town","X15M4549",1352
"Old Lyme town","X15M4549",283
"Old Saybrook town","X15M4549",354
"Orange town","X15M4549",578
"Oxford town","X15M4549",650
"Plainfield town","X15M4549",575
"Plainville town","X15M4549",645
"Plymouth town","X15M4549",542
"Pomfret town","X15M4549",185
"Portland town","X15M4549",398
"Preston town","X15M4549",186
"Prospect town","X15M4549",407
"Putnam town","X15M4549",333
"Redding town","X15M4549",410
"Ridgefield town","X15M4549",1140
"Rocky Hill town","X15M4549",654
"Roxbury town","X15M4549",76
"Salem town","X15M4549",171
"Salisbury town","X15M4549",110
"Scotland town","X15M4549",73
"Seymour town","X15M4549",683
"Sharon town","X15M4549",102
"Shelton town","X15M4549",1529
"Sherman town","X15M4549",141
"Simsbury town","X15M4549",992
"Somers town","X15M4549",447
"South Windsor town","X15M4549",1004
"Southbury town","X15M4549",731
"Southington town","X15M4549",1713
"Sprague town","X15M4549",87
"Stafford town","X15M4549",497
"Stamford town","X15M4549",4050
"Sterling town","X15M4549",178
"Stonington town","X15M4549",734
"Stratford town","X15M4549",1779
"Suffield town","X15M4549",814
"Thomaston town","X15M4549",365
"Thompson town","X15M4549",390
"Tolland town","X15M4549",732
"Torrington town","X15M4549",1369
"Trumbull town","X15M4549",1455
"Union town","X15M4549",34
"Vernon town","X15M4549",866
"Voluntown town","X15M4549",132
"Wallingford town","X15M4549",1621
"Warren town","X15M4549",70
"Washington town","X15M4549",125
"Waterbury town","X15M4549",3443
"Waterford town","X15M4549",778
"Watertown town","X15M4549",819
"West Hartford town","X15M4549",2129
"West Haven town","X15M4549",1870
"Westbrook town","X15M4549",261
"Weston town","X15M4549",518
"Westport town","X15M4549",1191
"Wethersfield town","X15M4549",922
"Willington town","X15M4549",192
"Wilton town","X15M4549",865
"Winchester town","X15M4549",400
"Windham town","X15M4549",650
"Windsor Locks town","X15M4549",468
"Windsor town","X15M4549",952
"Wolcott town","X15M4549",690
"Woodbridge town","X15M4549",300
"Woodbury town","X15M4549",389
"Woodstock town","X15M4549",357
"","X15M4549",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M4549",NA
"Andover town","X15M5054",161
"Ansonia town","X15M5054",732
"Ashford town","X15M5054",218
"Avon town","X15M5054",866
"Barkhamsted town","X15M5054",204
"Beacon Falls town","X15M5054",282
"Berlin town","X15M5054",909
"Bethany town","X15M5054",313
"Bethel town","X15M5054",794
"Bethlehem town","X15M5054",173
"Bloomfield town","X15M5054",678
"Bolton town","X15M5054",225
"Bozrah town","X15M5054",121
"Branford town","X15M5054",1040
"Bridgeport town","X15M5054",4741
"Bridgewater town","X15M5054",89
"Bristol town","X15M5054",2171
"Brookfield town","X15M5054",798
"Brooklyn town","X15M5054",404
"Burlington town","X15M5054",519
"Canaan town","X15M5054",56
"Canterbury town","X15M5054",251
"Canton town","X15M5054",457
"Chaplin town","X15M5054",118
"Cheshire town","X15M5054",1307
"Chester town","X15M5054",193
"Clinton town","X15M5054",572
"Colchester town","X15M5054",794
"Colebrook town","X15M5054",78
"Columbia town","X15M5054",278
"Cornwall town","X15M5054",69
"Coventry town","X15M5054",642
"Cromwell town","X15M5054",534
"Danbury town","X15M5054",2758
"Darien town","X15M5054",931
"Deep River town","X15M5054",208
"Derby town","X15M5054",451
"Durham town","X15M5054",365
"East Granby town","X15M5054",237
"East Haddam town","X15M5054",483
"East Hampton town","X15M5054",677
"East Hartford town","X15M5054",1763
"East Haven town","X15M5054",1088
"East Lyme town","X15M5054",785
"East Windsor town","X15M5054",453
"Eastford town","X15M5054",93
"Easton town","X15M5054",416
"Ellington town","X15M5054",787
"Enfield town","X15M5054",1774
"Essex town","X15M5054",262
"Fairfield town","X15M5054",2341
"Farmington town","X15M5054",1057
"Franklin town","X15M5054",94
"Glastonbury town","X15M5054",1692
"Goshen town","X15M5054",137
"Granby town","X15M5054",604
"Greenwich town","X15M5054",2425
"Griswold town","X15M5054",553
"Groton town","X15M5054",1040
"Guilford town","X15M5054",989
"Haddam town","X15M5054",409
"Hamden town","X15M5054",1857
"Hampton town","X15M5054",90
"Hartford town","X15M5054",3779
"Hartland town","X15M5054",102
"Harwinton town","X15M5054",287
"Hebron town","X15M5054",486
"Kent town","X15M5054",144
"Killingly town","X15M5054",684
"Killingworth town","X15M5054",342
"Lebanon town","X15M5054",386
"Ledyard town","X15M5054",594
"Lisbon town","X15M5054",232
"Litchfield town","X15M5054",378
"Lyme town","X15M5054",127
"Madison town","X15M5054",917
"Manchester town","X15M5054",1904
"Mansfield town","X15M5054",456
"Marlborough town","X15M5054",319
"Meriden town","X15M5054",2308
"Middlebury town","X15M5054",345
"Middlefield town","X15M5054",219
"Middletown town","X15M5054",1644
"Milford town","X15M5054",2161
"Monroe town","X15M5054",979
"Montville town","X15M5054",1008
"Morris town","X15M5054",88
"Naugatuck town","X15M5054",1226
"New Britain town","X15M5054",2182
"New Canaan town","X15M5054",942
"New Fairfield town","X15M5054",669
"New Hartford town","X15M5054",340
"New Haven town","X15M5054",3618
"New London town","X15M5054",709
"New Milford town","X15M5054",1275
"Newington town","X15M5054",1200
"Newtown town","X15M5054",1560
"Norfolk town","X15M5054",98
"North Branford town","X15M5054",640
"North Canaan town","X15M5054",144
"North Haven town","X15M5054",1038
"North Stonington town","X15M5054",288
"Norwalk town","X15M5054",3039
"Norwich town","X15M5054",1539
"Old Lyme town","X15M5054",322
"Old Saybrook town","X15M5054",435
"Orange town","X15M5054",676
"Oxford town","X15M5054",626
"Plainfield town","X15M5054",633
"Plainville town","X15M5054",689
"Plymouth town","X15M5054",513
"Pomfret town","X15M5054",199
"Portland town","X15M5054",413
"Preston town","X15M5054",231
"Prospect town","X15M5054",438
"Putnam town","X15M5054",341
"Redding town","X15M5054",503
"Ridgefield town","X15M5054",1329
"Rocky Hill town","X15M5054",797
"Roxbury town","X15M5054",125
"Salem town","X15M5054",198
"Salisbury town","X15M5054",147
"Scotland town","X15M5054",88
"Seymour town","X15M5054",720
"Sharon town","X15M5054",136
"Shelton town","X15M5054",1723
"Sherman town","X15M5054",193
"Simsbury town","X15M5054",1106
"Somers town","X15M5054",547
"South Windsor town","X15M5054",1142
"Southbury town","X15M5054",866
"Southington town","X15M5054",1765
"Sprague town","X15M5054",119
"Stafford town","X15M5054",543
"Stamford town","X15M5054",3948
"Sterling town","X15M5054",200
"Stonington town","X15M5054",784
"Stratford town","X15M5054",1928
"Suffield town","X15M5054",714
"Thomaston town","X15M5054",366
"Thompson town","X15M5054",455
"Tolland town","X15M5054",757
"Torrington town","X15M5054",1416
"Trumbull town","X15M5054",1601
"Union town","X15M5054",50
"Vernon town","X15M5054",1047
"Voluntown town","X15M5054",143
"Wallingford town","X15M5054",1856
"Warren town","X15M5054",77
"Washington town","X15M5054",139
"Waterbury town","X15M5054",3488
"Waterford town","X15M5054",930
"Watertown town","X15M5054",935
"West Hartford town","X15M5054",2283
"West Haven town","X15M5054",1895
"Westbrook town","X15M5054",266
"Weston town","X15M5054",557
"Westport town","X15M5054",1359
"Wethersfield town","X15M5054",1052
"Willington town","X15M5054",277
"Wilton town","X15M5054",908
"Winchester town","X15M5054",561
"Windham town","X15M5054",736
"Windsor Locks town","X15M5054",568
"Windsor town","X15M5054",1122
"Wolcott town","X15M5054",836
"Woodbridge town","X15M5054",442
"Woodbury town","X15M5054",469
"Woodstock town","X15M5054",427
"","X15M5054",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M5054",NA
"Andover town","X15M5559",184
"Ansonia town","X15M5559",704
"Ashford town","X15M5559",209
"Avon town","X15M5559",860
"Barkhamsted town","X15M5559",183
"Beacon Falls town","X15M5559",281
"Berlin town","X15M5559",867
"Bethany town","X15M5559",295
"Bethel town","X15M5559",814
"Bethlehem town","X15M5559",201
"Bloomfield town","X15M5559",709
"Bolton town","X15M5559",273
"Bozrah town","X15M5559",142
"Branford town","X15M5559",1241
"Bridgeport town","X15M5559",4407
"Bridgewater town","X15M5559",86
"Bristol town","X15M5559",2330
"Brookfield town","X15M5559",762
"Brooklyn town","X15M5559",328
"Burlington town","X15M5559",426
"Canaan town","X15M5559",44
"Canterbury town","X15M5559",232
"Canton town","X15M5559",481
"Chaplin town","X15M5559",108
"Cheshire town","X15M5559",1176
"Chester town","X15M5559",198
"Clinton town","X15M5559",525
"Colchester town","X15M5559",778
"Colebrook town","X15M5559",81
"Columbia town","X15M5559",260
"Cornwall town","X15M5559",75
"Coventry town","X15M5559",576
"Cromwell town","X15M5559",580
"Danbury town","X15M5559",2606
"Darien town","X15M5559",770
"Deep River town","X15M5559",190
"Derby town","X15M5559",515
"Durham town","X15M5559",363
"East Granby town","X15M5559",247
"East Haddam town","X15M5559",437
"East Hampton town","X15M5559",631
"East Hartford town","X15M5559",1811
"East Haven town","X15M5559",1033
"East Lyme town","X15M5559",737
"East Windsor town","X15M5559",543
"Eastford town","X15M5559",82
"Easton town","X15M5559",391
"Ellington town","X15M5559",713
"Enfield town","X15M5559",1691
"Essex town","X15M5559",329
"Fairfield town","X15M5559",2089
"Farmington town","X15M5559",1098
"Franklin town","X15M5559",93
"Glastonbury town","X15M5559",1438
"Goshen town","X15M5559",143
"Granby town","X15M5559",549
"Greenwich town","X15M5559",2317
"Griswold town","X15M5559",528
"Groton town","X15M5559",1203
"Guilford town","X15M5559",972
"Haddam town","X15M5559",397
"Hamden town","X15M5559",1915
"Hampton town","X15M5559",100
"Hartford town","X15M5559",3568
"Hartland town","X15M5559",102
"Harwinton town","X15M5559",279
"Hebron town","X15M5559",458
"Kent town","X15M5559",135
"Killingly town","X15M5559",669
"Killingworth town","X15M5559",324
"Lebanon town","X15M5559",348
"Ledyard town","X15M5559",575
"Lisbon town","X15M5559",213
"Litchfield town","X15M5559",386
"Lyme town","X15M5559",108
"Madison town","X15M5559",869
"Manchester town","X15M5559",1891
"Mansfield town","X15M5559",505
"Marlborough town","X15M5559",253
"Meriden town","X15M5559",2227
"Middlebury town","X15M5559",274
"Middlefield town","X15M5559",231
"Middletown town","X15M5559",1673
"Milford town","X15M5559",2210
"Monroe town","X15M5559",803
"Montville town","X15M5559",903
"Morris town","X15M5559",118
"Naugatuck town","X15M5559",1214
"New Britain town","X15M5559",2196
"New Canaan town","X15M5559",910
"New Fairfield town","X15M5559",653
"New Hartford town","X15M5559",356
"New Haven town","X15M5559",3197
"New London town","X15M5559",726
"New Milford town","X15M5559",1253
"Newington town","X15M5559",1092
"Newtown town","X15M5559",1255
"Norfolk town","X15M5559",80
"North Branford town","X15M5559",553
"North Canaan town","X15M5559",123
"North Haven town","X15M5559",1008
"North Stonington town","X15M5559",281
"Norwalk town","X15M5559",2833
"Norwich town","X15M5559",1543
"Old Lyme town","X15M5559",341
"Old Saybrook town","X15M5559",413
"Orange town","X15M5559",648
"Oxford town","X15M5559",553
"Plainfield town","X15M5559",588
"Plainville town","X15M5559",687
"Plymouth town","X15M5559",560
"Pomfret town","X15M5559",199
"Portland town","X15M5559",404
"Preston town","X15M5559",245
"Prospect town","X15M5559",424
"Putnam town","X15M5559",368
"Redding town","X15M5559",443
"Ridgefield town","X15M5559",1117
"Rocky Hill town","X15M5559",802
"Roxbury town","X15M5559",128
"Salem town","X15M5559",220
"Salisbury town","X15M5559",147
"Scotland town","X15M5559",70
"Seymour town","X15M5559",722
"Sharon town","X15M5559",143
"Shelton town","X15M5559",1737
"Sherman town","X15M5559",196
"Simsbury town","X15M5559",1033
"Somers town","X15M5559",453
"South Windsor town","X15M5559",1094
"Southbury town","X15M5559",908
"Southington town","X15M5559",1644
"Sprague town","X15M5559",140
"Stafford town","X15M5559",548
"Stamford town","X15M5559",3802
"Sterling town","X15M5559",190
"Stonington town","X15M5559",817
