Type,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Property,Woodbridge Police Dept,NJ,4421.8,4938.9,4793,4942,4979.1,5239.2,5864.4,4823.3,3978.8,4037.8,4319.1,3571.9,3564.4,3274.2,3160.6,3296.2,3164.9,3210.5,3243.2,2812.8,2781.2,2785.8,2914.9,2763,2425.2,2305.6,2540.2,1955, 
Property,Rochester Police Dept,NY,8027.6,8049.3,8743.7,9489.3,10592.1,9802,10159.4,10700.9,9696.5,8458.8,8740.7,8051.1,7574.9,7583.8,6713.6,7106.4,6582.4,6817,7221.2,7172.9,6498.6,6141.6,5456.1,5420.3,5347.5,5613.5,5169.5,5322.3, 
Property,Syracuse Police Dept,NY,6702.9,6743.4,7517.3,6793.8,6640.4,6050.3,6778,6257.1,5961.2,5759.2,6186,5999.4,5685.7,5503.8,4874.9,5135.6,5356.5,5562.4,5345.5,4580.7,4526,4700.1,4263.7,4460.6,4211.9,3931.9,3617.4,4095, 
Property,Yonkers Police Dept,NY,4303.1,4436.7,4935.9,5450.2,4946.1,4987.7,5089.9,4179,4355.3,3950.1,3945.8,3869.3,3904.1,3226.6,2688.4,2396.4,2282.5,1911,1917.8,1887.1,1725.4,1778.1,1520.7,1566,1555.5,1454.8,1558.5,1292.4, 
Property,Durham Police Dept,NC,8795.8,8773.3,8511.1,8525.8,9088.2,8523.5,9051.2,9515.1,9270.7,9482.7,9611.9,10196.5,10459.4,9510.7,10083.2,7779.8,6980.4,6543.8,6880.5,6070.8,5869.4,5679.4,,5391.7,5170.7,4973.9,4874,4363.6, 
Property,Winston-Salem Police Dept,NC,5980,6736.2,7330.8,7646.3,9114.2,9851.9,9762.1,9916.8,10541.3,11211.1,10919.1,10369.8,9762.1,9084.7,8812.8,7723.3,7553.3,6798.5,7300.7,6391.6,6223.7,6805.5,,6621.5,5969.4,5813.6,5966.6,5838, 
Property,Akron City Police Dept,OH,5849.5,6678.9,7034,6555.8,6503.5,6686.4,6809,6442.7,6258.9,6142.2,6117.2,6118.1,,,4675.9,2523.6,5689.2,5544.1,5756.6,6057.5,5743.1,5012.5,5131.3,5236.8,5111.9,5498,5452.3,5057.7, 
Property,Dayton,OH,8165.9,7709.8,9303.3,9357.7,10206.5,9781.2,9828.7,9273.7,9066.9,8209.9,9214.5,8801.8,8422.5,9428.4,8448.1,8659.9,8975.4,8346.9,8146.1,7892,7162.5,7428.9,6752.6,6152.3,5866,6320.3,5876.5,5899.2, 
Property,Allentown City Police Dept,PA,5014.4,5255.2,5427.1,5168.8,5465.7,5881.6,5904,5584.8,6350.9,5921.4,5928.2,6444.8,5561.8,5225,4867.2,4527.7,4329.6,4975.7,5315.6,5437,5396.8,5658,4965.7,5266.7,4910.3,4311.5,3863.8,3857.2, 
Property,Erie Police Dept,PA,4152.5,4252.2,4697.4,4394.6,4737.7,4855.7,4569.5,4220.9,4225.1,4603.5,4636.3,4484.8,4647.2,3964.9,3391.6,3249.2,3645.6,2985.4,3061.4,3280,2753.6,2908.4,3013.4,3421.2,2906.5,3428.8,3660.7,3442.1, 
