District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
218,Regional School District 18,2010-11,All,28,5
219,Regional School District 19,2010-11,All,48,8
118,Ridgefield School District,2010-11,All,42,42
119,Rocky Hill School District,2010-11,All,362,73
121,Salem School District,2010-11,All,11,2
124,Seymour School District,2010-11,All,214,77
126,Shelton School District,2010-11,All,501,146
127,Sherman School District,2010-11,All,10,2
270,Side By Side Community School District,2010-11,All,50,18
128,Simsbury School District,2010-11,All,228,59
129,Somers School District,2010-11,All,37,10
132,South Windsor School District,2010-11,All,328,76
131,Southington School District,2010-11,All,338,116
133,Sprague School District,2010-11,All,7,2
134,Stafford School District,2010-11,All,45,16
135,Stamford School District,2010-11,All,5980,2137
137,Stonington School District,2010-11,All,21,9
138,Stratford School District,2010-11,All,666,320
139,Suffield School District,2010-11,All,66,9
269,The Bridge Academy District,2010-11,All,44,3
902,The Gilbert School,2010-11,All,23,6
140,Thomaston School District,2010-11,All,32,3
141,Thompson School District,2010-11,All,11,4
142,Tolland School District,2010-11,All,14,14
143,Torrington School District,2010-11,All,664,317
144,Trumbull School District,2010-11,All,115,106
146,Vernon School District,2010-11,All,224,82
148,Wallingford School District,2010-11,All,243,243
151,Waterbury School District,2010-11,All,2613,1987
152,Waterford School District,2010-11,All,128,34
153,Watertown School District,2010-11,All,186,63
155,West Hartford School District,2010-11,All,1876,570
156,West Haven School District,2010-11,All,1338,630
154,Westbrook School District,2010-11,All,43,24
157,Weston School District,2010-11,All,12,12
158,Westport School District,2010-11,All,221,61
159,Wethersfield School District,2010-11,All,398,184
160,Willington School District,2010-11,All,9,4
161,Wilton School District,2010-11,All,119,25
162,Winchester School District,2010-11,All,19,19
163,Windham School District,2010-11,All,1180,835
165,Windsor Locks School District,2010-11,All,188,58
164,Windsor School District,2010-11,All,280,97
166,Wolcott School District,2010-11,All,122,35
167,Woodbridge School District,2010-11,All,74,20
903,Woodstock Academy,2010-11,All,11,1
169,Woodstock School District,2010-11,All,19,9
288,Achievement First Hartford Academy Inc.,2009-10,All,21,21
279,Amistad Academy District,2009-10,All,88,88
1,Andover School District,2009-10,All,12,5
2,Ansonia School District,2009-10,All,289,79
244,Area Cooperative Educational Services,2009-10,All,81,44
3,Ashford School District,2009-10,All,15,10
4,Avon School District,2009-10,All,193,49
5,Barkhamsted School District,2009-10,All,7,3
7,Berlin School District,2009-10,All,241,62
9,Bethel School District,2009-10,All,273,95
11,Bloomfield School District,2009-10,All,49,18
12,Bolton School District,2009-10,All,**,**
14,Branford School District,2009-10,All,264,97
285,Bridgeport Achievement First,2009-10,All,15,15
15,Bridgeport School District,2009-10,All,7849,2638
17,Bristol School District,2009-10,All,739,245
18,Brookfield School District,2009-10,All,96,33
22,Canterbury School District,2009-10,All,**,**
23,Canton School District,2009-10,All,34,13
241,Capitol Region Education Council,2009-10,All,313,138
287,Charter School for Young Children on Asylum Hill,2009-10,All,**,**
25,Cheshire School District,2009-10,All,253,27
26,Chester School District,2009-10,All,**,**
27,Clinton School District,2009-10,All,44,42
28,Colchester School District,2009-10,All,67,30
30,Columbia School District,2009-10,All,**,**
268,Common Ground High School District,2009-10,All,10,7
900,Connecticut Technical High School System,2009-10,All,899,288
32,Coventry School District,2009-10,All,9,2
33,Cromwell School District,2009-10,All,166,51
34,Danbury School District,2009-10,All,3903,1896
35,Darien School District,2009-10,All,153,14
36,Deep River School District,2009-10,All,20,18
37,Derby School District,2009-10,All,230,110
40,East Granby School District,2009-10,All,44,10
41,East Haddam School District,2009-10,All,9,1
42,East Hampton School District,2009-10,All,41,12
43,East Hartford School District,2009-10,All,1170,585
44,East Haven School District,2009-10,All,348,177
45,East Lyme School District,2009-10,All,152,30
47,East Windsor School District,2009-10,All,115,56
46,Easton School District,2009-10,All,21,2
48,Ellington School District,2009-10,All,84,32
289,Elm City College Preparatory School,2009-10,All,48,48
49,Enfield School District,2009-10,All,220,82
50,Essex School District,2009-10,All,7,7
51,Fairfield School District,2009-10,All,718,226
52,Farmington School District,2009-10,All,438,61
54,Glastonbury School District,2009-10,All,440,101
56,Granby School District,2009-10,All,27,7
57,Greenwich School District,2009-10,All,1588,486
58,Griswold School District,2009-10,All,60,24
59,Groton School District,2009-10,All,332,72
60,Guilford School District,2009-10,All,89,41
62,Hamden School District,2009-10,All,811,253
63,Hampton School District,2009-10,All,**,**
64,Hartford School District,2009-10,All,8836,3691
67,Hebron School District,2009-10,All,9,2
264,Integrated Day Charter School District,2009-10,All,29,15
265,Interdistrict School for Arts and Comm District,2009-10,All,35,8
68,Kent School District,2009-10,All,11,1
69,Killingly School District,2009-10,All,74,59
245,Learn,2009-10,All,197,125
71,Lebanon School District,2009-10,All,6,2
72,Ledyard School District,2009-10,All,41,33
74,Litchfield School District,2009-10,All,6,6
76,Madison School District,2009-10,All,53,7
77,Manchester School District,2009-10,All,329,328
78,Mansfield School District,2009-10,All,136,16
79,Marlborough School District,2009-10,All,22,6
80,Meriden School District,2009-10,All,2444,926
83,Middletown School District,2009-10,All,279,105
84,Milford School District,2009-10,All,497,124
85,Monroe School District,2009-10,All,87,19
86,Montville School District,2009-10,All,218,119
88,Naugatuck School District,2009-10,All,628,210
89,New Britain School District,2009-10,All,4341,1642
90,New Canaan School District,2009-10,All,135,23
91,New Fairfield School District,2009-10,All,30,30
93,New Haven School District,2009-10,All,5069,2364
95,New London School District,2009-10,All,733,645
96,New Milford School District,2009-10,All,314,123
94,Newington School District,2009-10,All,640,143
97,Newtown School District,2009-10,All,92,13
99,North Branford School District,2009-10,All,62,18
100,North Canaan School District,2009-10,All,17,6
101,North Haven School District,2009-10,All,218,48
102,North Stonington School District,2009-10,All,10,2
103,Norwalk School District,2009-10,All,3776,1255
901,Norwich Free Academy,2009-10,All,287,85
104,Norwich School District,2009-10,All,837,401
106,Old Saybrook School District,2009-10,All,64,53
107,Orange School District,2009-10,All,37,5
108,Oxford School District,2009-10,All,87,50
283,Park City Prep Charter School,2009-10,All,6,6
109,Plainfield School District,2009-10,All,59,27
110,Plainville School District,2009-10,All,267,80
111,Plymouth School District,2009-10,All,15,12
112,Pomfret School District,2009-10,All,6,6
113,Portland School District,2009-10,All,32,5
114,Preston School District,2009-10,All,13,11
116,Putnam School District,2009-10,All,75,39
117,Redding School District,2009-10,All,17,5
204,Regional School District 04,2009-10,All,15,9
205,Regional School District 05,2009-10,All,46,11
206,Regional School District 06,2009-10,All,29,16
208,Regional School District 08,2009-10,All,**,**
209,Regional School District 09,2009-10,All,24,1
210,Regional School District 10,2009-10,All,74,21
212,Regional School District 12,2009-10,All,9,8
213,Regional School District 13,2009-10,All,28,13
214,Regional School District 14,2009-10,All,13,13
215,Regional School District 15,2009-10,All,136,34
216,Regional School District 16,2009-10,All,78,29
217,Regional School District 17,2009-10,All,14,6
218,Regional School District 18,2009-10,All,30,7
219,Regional School District 19,2009-10,All,51,11
118,Ridgefield School District,2009-10,All,31,24
119,Rocky Hill School District,2009-10,All,361,86
121,Salem School District,2009-10,All,14,1
124,Seymour School District,2009-10,All,206,60
126,Shelton School District,2009-10,All,527,132
127,Sherman School District,2009-10,All,11,2
270,Side By Side Community School District,2009-10,All,63,9
128,Simsbury School District,2009-10,All,214,48
129,Somers School District,2009-10,All,35,9
132,South Windsor School District,2009-10,All,163,112
131,Southington School District,2009-10,All,320,106
133,Sprague School District,2009-10,All,8,3
134,Stafford School District,2009-10,All,44,18
135,Stamford School District,2009-10,All,5749,2037
137,Stonington School District,2009-10,All,27,13
138,Stratford School District,2009-10,All,669,323
139,Suffield School District,2009-10,All,62,12
269,The Bridge Academy District,2009-10,All,44,1
902,The Gilbert School,2009-10,All,36,16
140,Thomaston School District,2009-10,All,30,8
141,Thompson School District,2009-10,All,10,5
142,Tolland School District,2009-10,All,12,12
143,Torrington School District,2009-10,All,615,341
144,Trumbull School District,2009-10,All,275,70
146,Vernon School District,2009-10,All,221,61
148,Wallingford School District,2009-10,All,269,254
151,Waterbury School District,2009-10,All,2496,1956
152,Waterford School District,2009-10,All,125,27
153,Watertown School District,2009-10,All,173,57
155,West Hartford School District,2009-10,All,1852,630
156,West Haven School District,2009-10,All,1302,552
154,Westbrook School District,2009-10,All,42,22
157,Weston School District,2009-10,All,18,17
158,Westport School District,2009-10,All,232,68
159,Wethersfield School District,2009-10,All,380,163
160,Willington School District,2009-10,All,9,2
161,Wilton School District,2009-10,All,107,20
162,Winchester School District,2009-10,All,28,28
163,Windham School District,2009-10,All,1130,805
165,Windsor Locks School District,2009-10,All,178,69
164,Windsor School District,2009-10,All,286,134
166,Wolcott School District,2009-10,All,127,42
167,Woodbridge School District,2009-10,All,68,17
169,Woodstock School District,2009-10,All,16,6
1,Andover School District,2008-09,All,15,3
2,Ansonia School District,2008-09,All,287,73
244,Area Cooperative Educational Services,2008-09,All,73,47
3,Ashford School District,2008-09,All,11,8
4,Avon School District,2008-09,All,177,44
5,Barkhamsted School District,2008-09,All,**,**
7,Berlin School District,2008-09,All,246,79
9,Bethel School District,2008-09,All,291,98
11,Bloomfield School District,2008-09,All,35,9
12,Bolton School District,2008-09,All,**,**
13,Bozrah School District,2008-09,All,**,**
14,Branford School District,2008-09,All,243,93
285,Bridgeport Achievement First,2008-09,All,**,**
15,Bridgeport School District,2008-09,All,7928,2723
17,Bristol School District,2008-09,All,738,258
18,Brookfield School District,2008-09,All,82,43
22,Canterbury School District,2008-09,All,**,**
23,Canton School District,2008-09,All,32,13
241,Capitol Region Education Council,2008-09,All,233,104
25,Cheshire School District,2008-09,All,251,41
27,Clinton School District,2008-09,All,39,35
28,Colchester School District,2008-09,All,65,20
30,Columbia School District,2008-09,All,**,**
268,Common Ground High School District,2008-09,All,15,8
900,Connecticut Technical High School System,2008-09,All,944,332
32,Coventry School District,2008-09,All,7,1
33,Cromwell School District,2008-09,All,147,51
34,Danbury School District,2008-09,All,3831,1890
35,Darien School District,2008-09,All,151,15
36,Deep River School District,2008-09,All,20,16
37,Derby School District,2008-09,All,239,116
40,East Granby School District,2008-09,All,37,6
42,East Hampton School District,2008-09,All,41,13
43,East Hartford School District,2008-09,All,1190,538
44,East Haven School District,2008-09,All,322,195
45,East Lyme School District,2008-09,All,132,18
47,East Windsor School District,2008-09,All,115,57
46,Easton School District,2008-09,All,21,2
48,Ellington School District,2008-09,All,62,22
49,Enfield School District,2008-09,All,214,83
50,Essex School District,2008-09,All,7,7
51,Fairfield School District,2008-09,All,739,249
52,Farmington School District,2008-09,All,432,69
54,Glastonbury School District,2008-09,All,409,98
56,Granby School District,2008-09,All,23,6
57,Greenwich School District,2008-09,All,1600,513
58,Griswold School District,2008-09,All,59,25
59,Groton School District,2008-09,All,323,94
60,Guilford School District,2008-09,All,88,46
62,Hamden School District,2008-09,All,796,200
63,Hampton School District,2008-09,All,**,**
64,Hartford School District,2008-09,All,9065,3085
67,Hebron School District,2008-09,All,8,6
264,Integrated Day Charter School District,2008-09,All,18,9
265,Interdistrict School for Arts and Comm District,2008-09,All,52,9
68,Kent School District,2008-09,All,14,2
69,Killingly School District,2008-09,All,57,55
245,Learn,2008-09,All,141,72
71,Lebanon School District,2008-09,All,10,2
72,Ledyard School District,2008-09,All,35,34
76,Madison School District,2008-09,All,60,10
77,Manchester School District,2008-09,All,296,296
78,Mansfield School District,2008-09,All,161,23
79,Marlborough School District,2008-09,All,22,2
80,Meriden School District,2008-09,All,2575,934
83,Middletown School District,2008-09,All,256,103
84,Milford School District,2008-09,All,526,165
85,Monroe School District,2008-09,All,94,20
86,Montville School District,2008-09,All,203,109
88,Naugatuck School District,2008-09,All,615,198
89,New Britain School District,2008-09,All,4510,1676
90,New Canaan School District,2008-09,All,130,19
91,New Fairfield School District,2008-09,All,23,22
93,New Haven School District,2008-09,All,5208,2495
95,New London School District,2008-09,All,707,679
96,New Milford School District,2008-09,All,310,130
94,Newington School District,2008-09,All,624,164
97,Newtown School District,2008-09,All,82,11
99,North Branford School District,2008-09,All,56,19
100,North Canaan School District,2008-09,All,17,9
101,North Haven School District,2008-09,All,235,63
103,Norwalk School District,2008-09,All,3675,1281
901,Norwich Free Academy,2008-09,All,265,77
104,Norwich School District,2008-09,All,817,392
106,Old Saybrook School District,2008-09,All,69,47
107,Orange School District,2008-09,All,49,6
108,Oxford School District,2008-09,All,66,43
283,Park City Prep Charter School,2008-09,All,**,**
109,Plainfield School District,2008-09,All,46,22
110,Plainville School District,2008-09,All,264,100
111,Plymouth School District,2008-09,All,18,15
113,Portland School District,2008-09,All,27,7
114,Preston School District,2008-09,All,10,9
116,Putnam School District,2008-09,All,63,29
117,Redding School District,2008-09,All,15,6
204,Regional School District 04,2008-09,All,17,3
205,Regional School District 05,2008-09,All,56,5
206,Regional School District 06,2008-09,All,23,17
208,Regional School District 08,2008-09,All,**,**
209,Regional School District 09,2008-09,All,15,2
210,Regional School District 10,2008-09,All,68,25
212,Regional School District 12,2008-09,All,12,7
213,Regional School District 13,2008-09,All,23,11
214,Regional School District 14,2008-09,All,23,20
215,Regional School District 15,2008-09,All,129,26
216,Regional School District 16,2008-09,All,74,34
217,Regional School District 17,2008-09,All,11,5
218,Regional School District 18,2008-09,All,24,4
219,Regional School District 19,2008-09,All,44,11
118,Ridgefield School District,2008-09,All,94,32
119,Rocky Hill School District,2008-09,All,331,89
124,Seymour School District,2008-09,All,203,49
126,Shelton School District,2008-09,All,558,137
127,Sherman School District,2008-09,All,13,1
270,Side By Side Community School District,2008-09,All,64,9
128,Simsbury School District,2008-09,All,214,56
129,Somers School District,2008-09,All,37,11
132,South Windsor School District,2008-09,All,323,118
131,Southington School District,2008-09,All,304,105
133,Sprague School District,2008-09,All,8,3
134,Stafford School District,2008-09,All,43,15
135,Stamford School District,2008-09,All,5611,2116
137,Stonington School District,2008-09,All,22,10
138,Stratford School District,2008-09,All,614,340
139,Suffield School District,2008-09,All,46,5
269,The Bridge Academy District,2008-09,All,39,1
902,The Gilbert School,2008-09,All,25,13
140,Thomaston School District,2008-09,All,34,5
141,Thompson School District,2008-09,All,10,5
142,Tolland School District,2008-09,All,44,20
143,Torrington School District,2008-09,All,577,284
144,Trumbull School District,2008-09,All,313,116
146,Vernon School District,2008-09,All,211,66
148,Wallingford School District,2008-09,All,372,251
151,Waterbury School District,2008-09,All,2503,2067
152,Waterford School District,2008-09,All,130,30
153,Watertown School District,2008-09,All,178,63
155,West Hartford School District,2008-09,All,1814,679
156,West Haven School District,2008-09,All,1171,498
154,Westbrook School District,2008-09,All,26,13
157,Weston School District,2008-09,All,39,3
158,Westport School District,2008-09,All,192,81
159,Wethersfield School District,2008-09,All,351,168
161,Wilton School District,2008-09,All,121,30
162,Winchester School District,2008-09,All,34,33
163,Windham School District,2008-09,All,1053,735
165,Windsor Locks School District,2008-09,All,162,79
164,Windsor School District,2008-09,All,278,104
166,Wolcott School District,2008-09,All,128,42
167,Woodbridge School District,2008-09,All,72,14
169,Woodstock School District,2008-09,All,20,11
2,Ansonia School District,2007-08,All,283,79
244,Area Cooperative Educational Services,2007-08,All,61,34
3,Ashford School District,2007-08,All,15,5
4,Avon School District,2007-08,All,163,49
5,Barkhamsted School District,2007-08,All,**,**
7,Berlin School District,2007-08,All,243,76
9,Bethel School District,2007-08,All,308,118
11,Bloomfield School District,2007-08,All,35,9
13,Bozrah School District,2007-08,All,**,**
14,Branford School District,2007-08,All,221,81
15,Bridgeport School District,2007-08,All,8033,2817
17,Bristol School District,2007-08,All,740,274
18,Brookfield School District,2007-08,All,75,38
22,Canterbury School District,2007-08,All,**,**
23,Canton School District,2007-08,All,33,14
241,Capitol Region Education Council,2007-08,All,154,50
25,Cheshire School District,2007-08,All,256,42
27,Clinton School District,2007-08,All,37,36
28,Colchester School District,2007-08,All,63,21
30,Columbia School District,2007-08,All,**,**
900,Connecticut Technical High School System,2007-08,All,864,323
33,Cromwell School District,2007-08,All,153,63
34,Danbury School District,2007-08,All,3705,1812
35,Darien School District,2007-08,All,140,40
36,Deep River School District,2007-08,All,19,14
37,Derby School District,2007-08,All,236,111
40,East Granby School District,2007-08,All,41,7
41,East Haddam School District,2007-08,All,14,3
42,East Hampton School District,2007-08,All,40,7
43,East Hartford School District,2007-08,All,1207,477
44,East Haven School District,2007-08,All,312,181
45,East Lyme School District,2007-08,All,140,23
47,East Windsor School District,2007-08,All,92,57
46,Easton School District,2007-08,All,21,4
48,Ellington School District,2007-08,All,51,23
49,Enfield School District,2007-08,All,206,83
50,Essex School District,2007-08,All,**,**
51,Fairfield School District,2007-08,All,697,232
52,Farmington School District,2007-08,All,404,64
54,Glastonbury School District,2007-08,All,389,99
56,Granby School District,2007-08,All,19,3
57,Greenwich School District,2007-08,All,1616,597
58,Griswold School District,2007-08,All,50,19
59,Groton School District,2007-08,All,290,99
60,Guilford School District,2007-08,All,72,46
62,Hamden School District,2007-08,All,787,77
63,Hampton School District,2007-08,All,**,**
64,Hartford School District,2007-08,All,9581,3724
67,Hebron School District,2007-08,All,**,**
264,Integrated Day Charter School District,2007-08,All,23,8
265,Interdistrict School for Arts and Comm District,2007-08,All,53,12
69,Killingly School District,2007-08,All,66,65
245,Learn,2007-08,All,146,94
71,Lebanon School District,2007-08,All,13,2
72,Ledyard School District,2007-08,All,63,40
76,Madison School District,2007-08,All,59,5
77,Manchester School District,2007-08,All,250,250
78,Mansfield School District,2007-08,All,149,35
79,Marlborough School District,2007-08,All,15,4
80,Meriden School District,2007-08,All,2559,952
83,Middletown School District,2007-08,All,253,138
84,Milford School District,2007-08,All,510,183
85,Monroe School District,2007-08,All,99,11
86,Montville School District,2007-08,All,192,113
88,Naugatuck School District,2007-08,All,635,237
89,New Britain School District,2007-08,All,4690,1729
90,New Canaan School District,2007-08,All,126,20
91,New Fairfield School District,2007-08,All,31,18
93,New Haven School District,2007-08,All,5330,2331
95,New London School District,2007-08,All,645,636
96,New Milford School District,2007-08,All,316,125
94,Newington School District,2007-08,All,600,162
97,Newtown School District,2007-08,All,70,1
99,North Branford School District,2007-08,All,51,19
100,North Canaan School District,2007-08,All,17,8
101,North Haven School District,2007-08,All,256,71
102,North Stonington School District,2007-08,All,11,1
103,Norwalk School District,2007-08,All,3510,1317
901,Norwich Free Academy,2007-08,All,271,62
104,Norwich School District,2007-08,All,814,380
106,Old Saybrook School District,2007-08,All,88,60
107,Orange School District,2007-08,All,54,10
108,Oxford School District,2007-08,All,47,29
109,Plainfield School District,2007-08,All,56,21
110,Plainville School District,2007-08,All,257,96
111,Plymouth School District,2007-08,All,15,13
112,Pomfret School District,2007-08,All,**,**
113,Portland School District,2007-08,All,17,1
114,Preston School District,2007-08,All,10,10
116,Putnam School District,2007-08,All,60,33
117,Redding School District,2007-08,All,15,2
204,Regional School District 04,2007-08,All,21,5
205,Regional School District 05,2007-08,All,49,15
206,Regional School District 06,2007-08,All,16,14
207,Regional School District 07,2007-08,All,**,**
209,Regional School District 09,2007-08,All,17,3
210,Regional School District 10,2007-08,All,67,22
212,Regional School District 12,2007-08,All,11,7
213,Regional School District 13,2007-08,All,17,10
214,Regional School District 14,2007-08,All,44,19
215,Regional School District 15,2007-08,All,128,31
216,Regional School District 16,2007-08,All,76,24
217,Regional School District 17,2007-08,All,12,5
218,Regional School District 18,2007-08,All,18,2
219,Regional School District 19,2007-08,All,34,8
118,Ridgefield School District,2007-08,All,109,36
119,Rocky Hill School District,2007-08,All,307,88
124,Seymour School District,2007-08,All,171,41
125,Sharon School District,2007-08,All,**,**
126,Shelton School District,2007-08,All,544,117
127,Sherman School District,2007-08,All,9,1
270,Side By Side Community School District,2007-08,All,58,15
128,Simsbury School District,2007-08,All,246,69
129,Somers School District,2007-08,All,40,12
132,South Windsor School District,2007-08,All,309,99
131,Southington School District,2007-08,All,299,107
133,Sprague School District,2007-08,All,12,3
134,Stafford School District,2007-08,All,40,15
135,Stamford School District,2007-08,All,5476,2159
137,Stonington School District,2007-08,All,23,13
138,Stratford School District,2007-08,All,653,297
139,Suffield School District,2007-08,All,46,5
902,The Gilbert School,2007-08,All,27,7
140,Thomaston School District,2007-08,All,36,8
141,Thompson School District,2007-08,All,10,5
142,Tolland School District,2007-08,All,40,15
143,Torrington School District,2007-08,All,527,290
144,Trumbull School District,2007-08,All,276,92
146,Vernon School District,2007-08,All,215,57
148,Wallingford School District,2007-08,All,442,271
151,Waterbury School District,2007-08,All,2477,2172
152,Waterford School District,2007-08,All,143,27
153,Watertown School District,2007-08,All,183,71
155,West Hartford School District,2007-08,All,1739,650
156,West Haven School District,2007-08,All,1140,471
154,Westbrook School District,2007-08,All,24,12
157,Weston School District,2007-08,All,44,21
158,Westport School District,2007-08,All,194,83
159,Wethersfield School District,2007-08,All,328,178
160,Willington School District,2007-08,All,14,1
161,Wilton School District,2007-08,All,122,34
162,Winchester School District,2007-08,All,45,45
163,Windham School District,2007-08,All,1021,696
165,Windsor Locks School District,2007-08,All,147,69
164,Windsor School District,2007-08,All,246,109
166,Wolcott School District,2007-08,All,127,46
167,Woodbridge School District,2007-08,All,67,11
169,Woodstock School District,2007-08,All,18,11
2,Ansonia School District,2006-07,All,290,98
244,Area Cooperative Educational Services,2006-07,All,52,34
3,Ashford School District,2006-07,All,11,4
4,Avon School District,2006-07,All,140,31
5,Barkhamsted School District,2006-07,All,**,**
7,Berlin School District,2006-07,All,228,80
9,Bethel School District,2006-07,All,298,118
11,Bloomfield School District,2006-07,All,33,4
12,Bolton School District,2006-07,All,**,**
13,Bozrah School District,2006-07,All,**,**
14,Branford School District,2006-07,All,200,95
15,Bridgeport School District,2006-07,All,8186,2853
17,Bristol School District,2006-07,All,671,210
18,Brookfield School District,2006-07,All,56,33
23,Canton School District,2006-07,All,31,18
241,Capitol Region Education Council,2006-07,All,167,61
25,Cheshire School District,2006-07,All,252,49
27,Clinton School District,2006-07,All,34,34
28,Colchester School District,2006-07,All,63,17
30,Columbia School District,2006-07,All,**,**
900,Connecticut Technical High School System,2006-07,All,861,386
243,Cooperative Educational Services,2006-07,All,28,1
33,Cromwell School District,2006-07,All,131,51
34,Danbury School District,2006-07,All,3475,1709
35,Darien School District,2006-07,All,122,48
36,Deep River School District,2006-07,All,16,11
37,Derby School District,2006-07,All,215,97
40,East Granby School District,2006-07,All,35,13
41,East Haddam School District,2006-07,All,16,5
42,East Hampton School District,2006-07,All,32,6
43,East Hartford School District,2006-07,All,1226,506
44,East Haven School District,2006-07,All,251,151
45,East Lyme School District,2006-07,All,114,24
47,East Windsor School District,2006-07,All,82,33
46,Easton School District,2006-07,All,16,5
48,Ellington School District,2006-07,All,49,29
49,Enfield School District,2006-07,All,198,74
50,Essex School District,2006-07,All,**,**
51,Fairfield School District,2006-07,All,628,201
52,Farmington School District,2006-07,All,372,69
54,Glastonbury School District,2006-07,All,413,116
56,Granby School District,2006-07,All,25,4
57,Greenwich School District,2006-07,All,1514,574
58,Griswold School District,2006-07,All,43,7
59,Groton School District,2006-07,All,226,86
60,Guilford School District,2006-07,All,59,37
62,Hamden School District,2006-07,All,730,112
