"District.Name","District.ID","School.Year","Languages","Number.of.Students.with.Non.English.Home.Language","Number.of.ELL.Students","districtid","group"
"West Hartford School District",155,"2010-11","Lao",8,3,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Lithuanian",7,1,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Maay",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Malay(Indonesian)",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Malayalam",36,8,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Mandarin",16,5,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Nepali",54,25,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Oriya",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Persian",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Pilipino (Filipino)",6,1,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Portuguese",112,33,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Punjabi",32,15,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Pushto",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Rumanian",7,1,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Russian",97,16,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Somali",15,3,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Spanish",652,229,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Telugu",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Thai",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Turkish",10,6,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Twi/Fante",NA,NA,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Ukrainian",11,2,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Urdu",75,35,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Vietnamese",190,61,155,"Not Alliance"
"West Hartford School District",155,"2010-11","Wolof",NA,NA,155,"Not Alliance"
"Wethersfield School District",159,"2010-11","Albanian",38,15,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Amharic",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Armenian",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Chinese",21,6,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Georgian",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Greek",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Hindi",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Hungarian",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Italian",7,4,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Korean",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Oriya",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Pashto",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Patois",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Pilipino (Filipino)",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Polish",23,7,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Portuguese",11,2,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Russian",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Serbo-Croatian",78,40,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Sindhi",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Spanish",147,72,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Telugu",NA,NA,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Turkish",6,4,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Ukrainian",7,4,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Urdu",12,9,159,"Not Alliance"
"Wethersfield School District",159,"2010-11","Vietnamese",12,3,159,"Not Alliance"
"Windsor Locks School District",165,"2010-11","Akan",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Arabic",27,14,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Chinese",15,8,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Farsi",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","French",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Gujarati",27,9,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Hindi",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Japanese",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Lao",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Nepali",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Pashto",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Polish",8,1,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Punjabi",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Russian",NA,NA,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Spanish",25,9,165,"Other Alliance"
"Windsor Locks School District",165,"2010-11","Urdu",22,5,165,"Other Alliance"
"Windsor School District",164,"2010-11","Afrikaans",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Arabic",6,3,164,"Other Alliance"
"Windsor School District",164,"2010-11","Bengali",6,3,164,"Other Alliance"
"Windsor School District",164,"2010-11","Chinese",7,1,164,"Other Alliance"
"Windsor School District",164,"2010-11","Creole-Haitian",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Fante",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","French",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Gujarati",15,4,164,"Other Alliance"
"Windsor School District",164,"2010-11","Hausa",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Hindi",8,2,164,"Other Alliance"
"Windsor School District",164,"2010-11","Hmong",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Lao",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Lithuanian",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Malay(Indonesian)",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Nepali",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Patwa",8,8,164,"Other Alliance"
"Windsor School District",164,"2010-11","Portuguese",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Rumanian",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Russian",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Serbo-Croatian",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Somali",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Spanish",120,35,164,"Other Alliance"
"Windsor School District",164,"2010-11","Telugu",NA,NA,164,"Other Alliance"
"Windsor School District",164,"2010-11","Turkish",8,5,164,"Other Alliance"
"Windsor School District",164,"2010-11","Urdu",16,5,164,"Other Alliance"
"Windsor School District",164,"2010-11","Vietnamese",28,6,164,"Other Alliance"
"Windsor School District",164,"2010-11","Wolof",NA,NA,164,"Other Alliance"
