StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Hartford,2
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Killingworth,6
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Killingworth,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Madison,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Madison,0
